"","YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","MET2013","CITY","STRATA","GQ","RENT","HHINCOME","PERNUM","PERWT","AGE","RACE","RACED","HISPAN","HISPAND","CITIZEN","YRIMMIG","YRSUSA1","LANGUAGE","LANGUAGED","EDUC","EDUCD","EMPSTAT","EMPSTATD","FTOTINC","TRANWORK"
"259","2018","2018 ACS",555204,2018000002264,32,2018005552041,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",750,127000,2,55,"32","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",127000,"Auto, truck, or van"
"260","2018","2018 ACS",555209,2018000002399,311,2018005552091,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",800,42000,1,310,"35","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Employed","At work",42000,"Bus or trolley bus"
"261","2018","2018 ACS",555209,2018000002399,311,2018005552091,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",800,42000,2,451,"17","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 10","Grade 10","Not in labor force","Not in Labor Force",42000,"N/A"
"262","2018","2018 ACS",555209,2018000002399,311,2018005552091,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",800,42000,3,435,"15","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 5, 6, 7, or 8","Grade 8","N/A","N/A",42000,"N/A"
"263","2018","2018 ACS",555209,2018000002399,311,2018005552091,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",800,42000,4,456,"10","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Nursery school to grade 4","Grade 3","N/A","N/A",42000,"N/A"
"264","2018","2018 ACS",555209,2018000002399,311,2018005552091,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",800,42000,5,533,"Less than 1 year old","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","N/A or blank","N/A or blank","N/A or no schooling","N/A","N/A","N/A",42000,"N/A"
"265","2018","2018 ACS",555210,2018000002652,96,2018005552101,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",110,14400,1,96,"75","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Not in labor force","Not in Labor Force",14400,"N/A"
"266","2018","2018 ACS",555214,2018000002951,38,2018005552141,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,42000,1,38,"58","White","White","Not Hispanic","Not Hispanic","Not a citizen","1985","33","French","French","N/A or no schooling","No schooling completed","Employed","At work",42000,"Motorcycle"
"267","2018","2018 ACS",555219,2018000003178,110,2018005552191,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,13500,1,111,"59","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Not in labor force","Not in Labor Force",13500,"N/A"
"268","2018","2018 ACS",555240,2018000004207,63,2018005552401,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,101100,1,64,"68","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Not in labor force","Not in Labor Force",101100,"N/A"
"269","2018","2018 ACS",555240,2018000004207,63,2018005552401,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,101100,2,54,"65","White","White","Not Hispanic","Not Hispanic","Born abroad of American parents","1955","63","English","English","4 years of college","Bachelor's degree","Employed","At work",101100,"Auto, truck, or van"
"270","2018","2018 ACS",555262,2018000005969,50,2018005552621,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,0,1,50,"51","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Not in labor force","Not in Labor Force",0,"N/A"
"271","2018","2018 ACS",555262,2018000005969,50,2018005552621,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,0,2,76,"17","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 11","Grade 11","Not in labor force","Not in Labor Force",0,"N/A"
"272","2018","2018 ACS",555268,2018000006357,109,2018005552681,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",550,102900,1,109,"54","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","GED or alternative credential","Not in labor force","Not in Labor Force",102900,"N/A"
"273","2018","2018 ACS",555268,2018000006357,109,2018005552681,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",550,102900,2,290,"27","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","GED or alternative credential","Employed","At work",102900,"Auto, truck, or van"
"274","2018","2018 ACS",555268,2018000006357,109,2018005552681,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",550,102900,3,275,"55","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",102900,"Auto, truck, or van"
"275","2018","2018 ACS",555271,2018000006637,71,2018005552711,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,11100,1,72,"69","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Not in labor force","Not in Labor Force",11100,"N/A"
"276","2018","2018 ACS",555275,2018000006965,40,2018005552751,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,20000,1,39,"47","White","White","Not Hispanic","Not Hispanic","Born abroad of American parents","1971","47","Italian","Italian","4 years of college","Bachelor's degree","Employed","At work",20000,"Bicycle"
"277","2018","2018 ACS",555279,2018000007181,65,2018005552791,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",750,546500,1,65,"30","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Employed","At work",40500,"Walked only"
"278","2018","2018 ACS",555279,2018000007181,65,2018005552791,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",750,546500,2,217,"60","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Master's degree","Employed","At work",406000,"Walked only"
"279","2018","2018 ACS",555279,2018000007181,65,2018005552791,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",750,546500,3,221,"52","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","Has job, not working",68000,"N/A"
"280","2018","2018 ACS",555279,2018000007181,65,2018005552791,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",750,546500,4,197,"48","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Employed","At work",32000,"Auto, truck, or van"
"281","2018","2018 ACS",555289,2018000008201,39,2018005552891,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,45910,1,38,"66","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",45910,"Auto, truck, or van"
"282","2018","2018 ACS",555289,2018000008201,39,2018005552891,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,45910,2,141,"45","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Employed","At work",45910,"Bus or trolley bus"
"283","2018","2018 ACS",555306,2018000008919,44,2018005553061,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,75080,1,45,"41","Three or more major races","White, Black, Asian","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","GED or alternative credential","Employed","At work",75080,"Auto, truck, or van"
"284","2018","2018 ACS",555306,2018000008919,44,2018005553061,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,75080,2,64,"46","Three or more major races","White, Black, Asian","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Employed","At work",75080,"Auto, truck, or van"
"285","2018","2018 ACS",555306,2018000008919,44,2018005553061,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,75080,3,75,"19","Three or more major races","White, Black, Asian","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Not in labor force","Not in Labor Force",75080,"N/A"
"286","2018","2018 ACS",555313,2018000009378,134,2018005553131,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,62100,1,134,"53","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",62100,"Auto, truck, or van"
"287","2018","2018 ACS",555313,2018000009378,134,2018005553131,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,62100,2,163,"53","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",62100,"Auto, truck, or van"
"288","2018","2018 ACS",555314,2018000009424,76,2018005553141,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",500,61000,1,76,"30","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",61000,"Auto, truck, or van"
"289","2018","2018 ACS",555322,2018000010015,72,2018005553221,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",400,3600,1,72,"58","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Not in labor force","Not in Labor Force",3600,"N/A"
"290","2018","2018 ACS",555331,2018000010462,33,2018005553311,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,72200,1,32,"55","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Employed","At work",72200,"Auto, truck, or van"
"291","2018","2018 ACS",555331,2018000010462,33,2018005553311,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,72200,2,88,"25","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",72200,"Auto, truck, or van"
"292","2018","2018 ACS",555345,2018000011591,72,2018005553451,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",750,12440,1,73,"57","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Not in labor force","Not in Labor Force",12440,"N/A"
"293","2018","2018 ACS",555350,2018000012193,97,2018005553501,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,166800,1,97,"39","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Employed","At work",166800,"Auto, truck, or van"
"294","2018","2018 ACS",555350,2018000012193,97,2018005553501,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,166800,2,120,"39","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",166800,"Auto, truck, or van"
"295","2018","2018 ACS",555350,2018000012193,97,2018005553501,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,166800,3,177,"11","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","Spanish","Spanish","Grade 5, 6, 7, or 8","Grade 5","N/A","N/A",166800,"N/A"
"296","2018","2018 ACS",555350,2018000012193,97,2018005553501,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,166800,4,215,"8","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","Spanish","Spanish","Nursery school to grade 4","Grade 2","N/A","N/A",166800,"N/A"
"297","2018","2018 ACS",555350,2018000012193,97,2018005553501,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,166800,5,200,"3","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","N/A or blank","N/A or blank","N/A or no schooling","No schooling completed","N/A","N/A",166800,"N/A"
"298","2018","2018 ACS",555350,2018000012193,97,2018005553501,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,166800,6,247,"65","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Not in labor force","Not in Labor Force",166800,"N/A"
"299","2018","2018 ACS",555351,2018000012203,59,2018005553511,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",1300,120000,1,59,"35","Other Asian or Pacific Islander","Asian Indian (Hindu 1920_1940)","Not Hispanic","Not Hispanic","Not a citizen","2017","1","English","English","4 years of college","Bachelor's degree","Employed","At work",120000,"Auto, truck, or van"
"300","2018","2018 ACS",555351,2018000012203,59,2018005553511,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",1300,120000,2,49,"36","Other Asian or Pacific Islander","Asian Indian (Hindu 1920_1940)","Not Hispanic","Not Hispanic","Born abroad of American parents","1983","35","English","English","Grade 12","Regular high school diploma","Not in labor force","Not in Labor Force",120000,"N/A"
"301","2018","2018 ACS",555351,2018000012203,59,2018005553511,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",1300,120000,3,56,"7","Other Asian or Pacific Islander","Asian Indian (Hindu 1920_1940)","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Nursery school to grade 4","Grade 1","N/A","N/A",120000,"N/A"
"302","2018","2018 ACS",555351,2018000012203,59,2018005553511,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",1300,120000,4,56,"1","Other Asian or Pacific Islander","Asian Indian (Hindu 1920_1940)","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","N/A or blank","N/A or blank","N/A or no schooling","N/A","N/A","N/A",120000,"N/A"
"303","2018","2018 ACS",555367,2018000013521,18,2018005553671,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,123000,1,18,"25","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Master's degree","Employed","At work",73000,"Auto, truck, or van"
"304","2018","2018 ACS",555367,2018000013521,18,2018005553671,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,123000,2,58,"27","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",50000,"Auto, truck, or van"
"305","2018","2018 ACS",555378,2018000014238,99,2018005553781,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,37600,1,100,"51","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Employed","At work",37600,"Auto, truck, or van"
"306","2018","2018 ACS",555378,2018000014238,99,2018005553781,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,37600,2,210,"22","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","2 years of college","Associate's degree, type not specified","Employed","At work",37600,"Auto, truck, or van"
"307","2018","2018 ACS",555386,2018000014890,79,2018005553861,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,22900,1,79,"43","White","White","Mexican","Mexican","Not a citizen","1997","21","English","English","2 years of college","Associate's degree, type not specified","Employed","At work",22900,"Auto, truck, or van"
"308","2018","2018 ACS",555386,2018000014890,79,2018005553861,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,22900,2,136,"15","White","White","Mexican","Mexican","N/A","N/A","N/A or less than one year","English","English","Grade 9","Grade 9","N/A","N/A",22900,"N/A"
"309","2018","2018 ACS",555386,2018000014890,79,2018005553861,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,22900,3,136,"14","White","White","Mexican","Mexican","N/A","N/A","N/A or less than one year","Spanish","Spanish","Grade 5, 6, 7, or 8","Grade 7","N/A","N/A",22900,"N/A"
"310","2018","2018 ACS",555386,2018000014890,79,2018005553861,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,22900,4,185,"71","White","White","Mexican","Mexican","Born abroad of American parents","1978","40","English","English","4 years of college","Bachelor's degree","Not in labor force","Not in Labor Force",22900,"N/A"
"311","2018","2018 ACS",555393,2018000015514,87,2018005553931,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,7800,1,87,"62","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","12th grade, no diploma","Not in labor force","Not in Labor Force",7800,"N/A"
"312","2018","2018 ACS",555395,2018000015747,36,2018005553951,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",560,11000,1,35,"65","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Regular high school diploma","Not in labor force","Not in Labor Force",11000,"N/A"
"313","2018","2018 ACS",555410,2018000016481,154,2018005554101,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,10000,1,154,"57","Other race, nec","Other race, n.e.c","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Unemployed","Unemployed",10000,"N/A"
"314","2018","2018 ACS",555412,2018000016598,53,2018005554121,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,190000,1,52,"50","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Professional degree beyond a bachelor's degree","Employed","At work",30000,"Auto, truck, or van"
"315","2018","2018 ACS",555412,2018000016598,53,2018005554121,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,190000,2,45,"52","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Master's degree","Employed","At work",30000,"Auto, truck, or van"
"316","2018","2018 ACS",555415,2018000017009,33,2018005554151,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",250,14400,1,33,"69","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Not in labor force","Not in Labor Force",14400,"N/A"
"317","2018","2018 ACS",555416,2018000017020,114,2018005554161,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",300,24400,1,113,"80","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 11","Grade 11","Not in labor force","Not in Labor Force",24400,"N/A"
"318","2018","2018 ACS",555418,2018000017066,101,2018005554181,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",370,17000,1,101,"58","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 10","Grade 10","Employed","At work",17000,"Auto, truck, or van"
"319","2018","2018 ACS",555429,2018000018045,55,2018005554291,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",1100,44000,1,54,"32","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Master's degree","Employed","At work",44000,"Bus or trolley bus"
"320","2018","2018 ACS",555462,2018000020511,25,2018005554621,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,33000,1,25,"28","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Professional degree beyond a bachelor's degree","Employed","At work",33000,"Auto, truck, or van"
"321","2018","2018 ACS",555462,2018000020511,25,2018005554621,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,33000,2,37,"30","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Professional degree beyond a bachelor's degree","Employed","At work",33000,"Auto, truck, or van"
"322","2018","2018 ACS",555465,2018000020883,52,2018005554651,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,86600,1,51,"34","Two major races","Black and Asian write_in","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",66600,"Auto, truck, or van"
"323","2018","2018 ACS",555465,2018000020883,52,2018005554651,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",0,86600,2,46,"30","White","White","Not Hispanic","Not Hispanic","Born abroad of American parents","2018","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",66600,"Bicycle"
"324","2018","2018 ACS",555477,2018000021772,28,2018005554771,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",2300,388000,1,28,"44","White","White","Not Hispanic","Not Hispanic","Not a citizen","2012","6","Portuguese","Portuguese","5+ years of college","Master's degree","Employed","At work",388000,"Auto, truck, or van"
"325","2018","2018 ACS",555477,2018000021772,28,2018005554771,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",2300,388000,2,31,"42","White","White","Not Hispanic","Not Hispanic","Not a citizen","2012","6","Portuguese","Portuguese","4 years of college","Bachelor's degree","Not in labor force","Not in Labor Force",388000,"N/A"
"326","2018","2018 ACS",555477,2018000021772,28,2018005554771,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",2300,388000,3,29,"14","White","White","Not Hispanic","Not Hispanic","Not a citizen","2012","6","Portuguese","Portuguese","Grade 5, 6, 7, or 8","Grade 8","N/A","N/A",388000,"N/A"
"327","2018","2018 ACS",555477,2018000021772,28,2018005554771,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",2300,388000,4,32,"10","White","White","Not Hispanic","Not Hispanic","Not a citizen","2012","6","Portuguese","Portuguese","Nursery school to grade 4","Grade 4","N/A","N/A",388000,"N/A"
"328","2018","2018 ACS",555483,2018000021988,77,2018005554831,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,25600,1,77,"66","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","5+ years of college","Master's degree","Not in labor force","Not in Labor Force",25600,"N/A"
