"","YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","AGE","EDUC","EDUCD","LABFORCE","INCTOT","edu","uniquID"
"1931925","2018","2018 ACS",850497,2018000229839,62,2018008504971,80036,"Households under 1970 definition",2,46,"28","4 years of college","Bachelor's degree","Yes, in the labor force",66000,16,"2018000229839 2018008504971 62 28 80036"
"1961965","2018","2018 ACS",862555,2018000455680,9,2018008625551,330436,"Households under 1970 definition",1,9,"74","5+ years of college","Doctoral degree","Yes, in the labor force",155000,20,"2018000455680 2018008625551 9 74 330436"
"1976390","2018","2018 ACS",868335,2018000561529,37,2018008683351,30036,"Households under 1970 definition",2,95,"63","4 years of college","Bachelor's degree","Yes, in the labor force",67000,16,"2018000561529 2018008683351 37 63 30036"
"2032870","2018","2018 ACS",891191,2018000989223,80,2018008911911,410736,"Households under 1970 definition",2,67,"47","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",10000,13,"2018000989223 2018008911911 80 47 410736"
"2300804","2018","2018 ACS",1011795,2018001193577,55,2018010117951,550139,"Households under 1970 definition",1,56,"40","4 years of college","Bachelor's degree","Yes, in the labor force",100200,16,"2018001193577 2018010117951 55 40 550139"
"2426683","2018","2018 ACS",1071455,2018000253903,92,2018010714551,80142,"Households under 1970 definition",1,93,"37","4 years of college","Bachelor's degree","Yes, in the labor force",65000,16,"2018000253903 2018010714551 92 37 80142"
"2438513","2018","2018 ACS",1076509,2018000389106,21,2018010765091,120042,"Households under 1970 definition",1,20,"26","4 years of college","Bachelor's degree","Yes, in the labor force",78000,16,"2018000389106 2018010765091 21 26 120042"
"2830486","2018","2018 ACS",1248621,2018000848761,402,2018012486211,200548,"Households under 1970 definition",2,457,"24","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",50000,13,"2018000848761 2018012486211 402 24 200548"
"2878142","2018","2018 ACS",1267156,2018001107576,70,2018012671561,231248,"Households under 1970 definition",2,70,"33","4 years of college","Bachelor's degree","Yes, in the labor force",52000,16,"2018001107576 2018012671561 70 33 231248"
"2959264","2018","2018 ACS",1298076,2018001213092,51,2018012980761,1300149,"Households under 1970 definition",2,58,"39","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",97000,13,"2018001213092 2018012980761 51 39 1300149"
"3178771","2018","2018 ACS",1395604,2018000662814,198,2018013956041,100155,"Households under 1970 definition",2,221,"51","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",40000,13,"2018000662814 2018013956041 198 51 100155"
"27668","2018","2018 ACS",13410,2018000791019,109,2018000134101,130201,"Households under 1970 definition",1,108,"41","Grade 10","Grade 10","Yes, in the labor force",3600,10,"2018000791019 2018000134101 109 41 130201"
"148585","2018","2018 ACS",66125,2018001081393,69,2018000661251,40005,"Households under 1970 definition",3,54,"18","Grade 11","Grade 11","Yes, in the labor force",5000,11,"2018001081393 2018000661251 69 18 40005"
"152713","2018","2018 ACS",67915,2018001283579,76,2018000679151,80005,"Households under 1970 definition",1,76,"32","Grade 10","Grade 10","Yes, in the labor force",500,10,"2018001283579 2018000679151 76 32 80005"
"208411","2018","2018 ACS",99314,2018000142284,104,2018000993141,375406,"Households under 1970 definition",6,151,"43","Grade 12","12th grade, no diploma","Yes, in the labor force",30000,11,"2018000142284 2018000993141 104 43 375406"
"259459","2018","2018 ACS",118417,2018000342253,129,2018001184171,375106,"Households under 1970 definition",1,130,"43","Grade 5, 6, 7, or 8","Grade 7","Yes, in the labor force",18000,7,"2018000342253 2018001184171 129 43 375106"
"342367","2018","2018 ACS",149141,2018000662245,145,2018001491411,651506,"Households under 1970 definition",2,233,"51","Grade 9","Grade 9","Yes, in the labor force",80700,9,"2018000662245 2018001491411 145 51 651506"
"389632","2018","2018 ACS",166573,2018000843470,191,2018001665731,651206,"Households under 1970 definition",2,186,"44","Grade 5, 6, 7, or 8","Grade 5","Yes, in the labor force",30000,5,"2018000843470 2018001665731 191 44 651206"
"411746","2018","2018 ACS",174831,2018000929850,68,2018001748311,373306,"Households under 1970 definition",2,58,"29","Grade 9","Grade 9","Yes, in the labor force",9700,9,"2018000929850 2018001748311 68 29 373306"
"437004","2018","2018 ACS",184212,2018001027038,126,2018001842121,770206,"Households under 1970 definition",1,126,"33","Grade 5, 6, 7, or 8","Grade 5","Yes, in the labor force",20000,5,"2018001027038 2018001842121 126 33 770206"
"485050","2018","2018 ACS",202055,2018001216570,73,2018002020551,375206,"Households under 1970 definition",5,111,"27","Grade 12","12th grade, no diploma","Yes, in the labor force",12000,11,"2018001216570 2018002020551 73 27 375206"
"488578","2018","2018 ACS",203399,2018001230386,52,2018002033991,372206,"Households under 1970 definition",2,63,"70","Grade 5, 6, 7, or 8","Grade 5","Yes, in the labor force",46000,5,"2018001230386 2018002033991 52 70 372206"
"500635","2018","2018 ACS",207820,2018001275667,56,2018002078201,373606,"Households under 1970 definition",1,56,"36","Grade 9","Grade 9","Yes, in the labor force",20000,9,"2018001275667 2018002078201 56 36 373606"
"544024","2018","2018 ACS",225628,2018000203642,128,2018002256281,82308,"Households under 1970 definition",5,99,"52","N/A or no schooling","No schooling completed","Yes, in the labor force",35000,0,"2018000203642 2018002256281 128 52 82308"
"575481","2018","2018 ACS",238712,2018001026331,75,2018002387121,81608,"Households under 1970 definition",2,136,"43","Grade 10","Grade 10","Yes, in the labor force",29700,10,"2018001026331 2018002387121 75 43 81608"
"603805","2018","2018 ACS",251795,2018000486452,67,2018002517951,90109,"Households under 1970 definition",1,66,"59","Grade 12","12th grade, no diploma","Yes, in the labor force",13420,11,"2018000486452 2018002517951 67 59 90109"
"710088","2018","2018 ACS",303220,2018000433280,59,2018003032201,111112,"Households under 1970 definition",6,65,"16","Grade 9","Grade 9","Yes, in the labor force",380,9,"2018000433280 2018003032201 59 16 111112"
"749661","2018","2018 ACS",320380,2018000721997,115,2018003203801,990612,"Households under 1970 definition",2,108,"17","Grade 11","Grade 11","Yes, in the labor force",7500,11,"2018000721997 2018003203801 115 17 990612"
"796658","2018","2018 ACS",340772,2018001058179,81,2018003407721,1010212,"Households under 1970 definition",1,81,"44","Grade 10","Grade 10","Yes, in the labor force",45000,10,"2018001058179 2018003407721 81 44 1010212"
"1015752","2018","2018 ACS",437794,2018000401400,125,2018004377941,330617,"Households under 1970 definition",2,149,"64","Grade 12","12th grade, no diploma","Yes, in the labor force",42000,11,"2018000401400 2018004377941 125 64 330617"
"1042275","2018","2018 ACS",448777,2018000707836,20,2018004487771,150017,"Households under 1970 definition",1,20,"58","Grade 12","12th grade, no diploma","Yes, in the labor force",70000,11,"2018000707836 2018004487771 20 58 150017"
"1092971","2018","2018 ACS",469898,2018001296293,159,2018004698981,190017,"Households under 1970 definition",2,165,"16","Grade 10","Grade 10","Yes, in the labor force",25300,10,"2018001296293 2018004698981 159 16 190017"
"1122977","2018","2018 ACS",484417,2018000374364,54,2018004844171,270018,"Households under 1970 definition",1,54,"31","Grade 9","Grade 9","Yes, in the labor force",1400,9,"2018000374364 2018004844171 54 31 270018"
"1157465","2018","2018 ACS",498912,2018001129700,57,2018004989121,270018,"Households under 1970 definition",3,65,"69","Grade 12","12th grade, no diploma","Yes, in the labor force",32000,11,"2018001129700 2018004989121 57 69 270018"
"1272327","2018","2018 ACS",550989,2018001234757,71,2018005509891,170521,"Households under 1970 definition",2,68,"56","Grade 9","Grade 9","Yes, in the labor force",39700,9,"2018001234757 2018005509891 71 56 170521"
"1283941","2018","2018 ACS",557140,2018000153204,403,2018005571401,200022,"Households under 1970 definition",3,348,"49","Grade 11","Grade 11","Yes, in the labor force",9000,11,"2018000153204 2018005571401 403 49 200022"
"1290786","2018","2018 ACS",560093,2018000378848,56,2018005600931,200022,"Households under 1970 definition",4,83,"16","Grade 11","Grade 11","Yes, in the labor force",250,11,"2018000378848 2018005600931 56 16 200022"
"1416412","2018","2018 ACS",617799,2018000379531,61,2018006177991,450025,"Households under 1970 definition",3,104,"41","Grade 10","Grade 10","Yes, in the labor force",38000,10,"2018000379531 2018006177991 61 41 450025"
"1416722","2018","2018 ACS",617928,2018000385140,54,2018006179281,190025,"Households under 1970 definition",1,54,"62","Nursery school to grade 4","Grade 2","Yes, in the labor force",14500,2,"2018000385140 2018006179281 54 62 190025"
"1520681","2018","2018 ACS",664332,2018000770693,101,2018006643321,50026,"Households under 1970 definition",7,180,"20","Grade 11","Grade 11","Yes, in the labor force",18000,11,"2018000770693 2018006643321 101 20 50026"
"1566327","2018","2018 ACS",685274,2018000000255,339,2018006852741,100027,"Households under 1970 definition",4,421,"27","Grade 12","12th grade, no diploma","Yes, in the labor force",32000,11,"2018000000255 2018006852741 339 27 100027"
"1698764","2018","2018 ACS",744400,2018001112228,154,2018007444001,140029,"Households under 1970 definition",4,294,"23","Grade 11","Grade 11","Yes, in the labor force",20000,11,"2018001112228 2018007444001 154 23 140029"
"1700401","2018","2018 ACS",745113,2018001150927,36,2018007451131,60029,"Households under 1970 definition",1,36,"40","Grade 12","12th grade, no diploma","Yes, in the labor force",40000,11,"2018001150927 2018007451131 36 40 60029"
"1700402","2018","2018 ACS",745113,2018001150927,36,2018007451131,60029,"Households under 1970 definition",2,59,"40","Grade 12","12th grade, no diploma","Yes, in the labor force",50000,11,"2018001150927 2018007451131 36 40 60029"
"1750057","2018","2018 ACS",767285,2018000435685,77,2018007672851,40332,"Households under 1970 definition",2,77,"38","N/A or no schooling","No schooling completed","Yes, in the labor force",4000,0,"2018000435685 2018007672851 77 38 40332"
"1782449","2018","2018 ACS",781215,2018001295355,71,2018007812151,40033,"Households under 1970 definition",1,71,"53","N/A or no schooling","No schooling completed","Yes, in the labor force",41000,0,"2018001295355 2018007812151 71 53 40033"
"1812170","2018","2018 ACS",795555,2018000406902,70,2018007955551,110534,"Households under 1970 definition",1,70,"48","Grade 10","Grade 10","Yes, in the labor force",500,10,"2018000406902 2018007955551 70 48 110534"
"1846155","2018","2018 ACS",808962,2018000977342,118,2018008089621,240034,"Households under 1970 definition",1,118,"66","N/A or no schooling","No schooling completed","Yes, in the labor force",34400,0,"2018000977342 2018008089621 118 66 240034"
"1873652","2018","2018 ACS",820319,2018000068075,172,2018008203191,120035,"Households under 1970 definition",2,110,"28","Grade 9","Grade 9","Yes, in the labor force",38000,9,"2018000068075 2018008203191 172 28 120035"
"1958666","2018","2018 ACS",861242,2018000431076,130,2018008612421,90336,"Households under 1970 definition",3,165,"30","Grade 10","Grade 10","Yes, in the labor force",26000,10,"2018000431076 2018008612421 130 30 90336"
"1981508","2018","2018 ACS",870383,2018000599389,25,2018008703831,150036,"Households under 1970 definition",3,24,"20","Grade 12","12th grade, no diploma","Yes, in the labor force",2200,11,"2018000599389 2018008703831 25 20 150036"
"2170361","2018","2018 ACS",952093,2018001105867,61,2018009520931,120837,"Households under 1970 definition",3,69,"16","Grade 10","Grade 10","Yes, in the labor force",200,10,"2018001105867 2018009520931 61 16 120837"
"2170362","2018","2018 ACS",952093,2018001105867,61,2018009520931,120837,"Households under 1970 definition",4,70,"16","Grade 10","Grade 10","Yes, in the labor force",1700,10,"2018001105867 2018009520931 61 16 120837"
"2197280","2018","2018 ACS",963853,2018001141937,21,2018009638531,50038,"Households under 1970 definition",2,17,"17","Grade 11","Grade 11","Yes, in the labor force",8300,11,"2018001141937 2018009638531 21 17 50038"
"2287672","2018","2018 ACS",1006113,2018001027406,43,2018010061131,570039,"Households under 1970 definition",2,36,"51","Grade 10","Grade 10","Yes, in the labor force",40000,10,"2018001027406 2018010061131 43 51 570039"
"2392607","2018","2018 ACS",1052587,2018001222204,27,2018010525871,70541,"Households under 1970 definition",1,28,"62","Grade 10","Grade 10","Yes, in the labor force",18000,10,"2018001222204 2018010525871 27 62 70541"
"2497779","2018","2018 ACS",1101819,2018001068334,28,2018011018191,90042,"Households under 1970 definition",3,17,"16","Grade 11","Grade 11","Yes, in the labor force",2500,11,"2018001068334 2018011018191 28 16 90042"
"2504250","2018","2018 ACS",1104615,2018001144954,28,2018011046151,240242,"Households under 1970 definition",2,48,"17","Grade 11","Grade 11","Yes, in the labor force",6000,11,"2018001144954 2018011046151 28 17 240242"
"2504251","2018","2018 ACS",1104615,2018001144954,28,2018011046151,240242,"Households under 1970 definition",3,49,"17","Grade 11","Grade 11","Yes, in the labor force",6000,11,"2018001144954 2018011046151 28 17 240242"
"2508849","2018","2018 ACS",1106563,2018001197573,20,2018011065631,120042,"Households under 1970 definition",1,21,"22","Grade 9","Grade 9","Yes, in the labor force",21000,9,"2018001197573 2018011065631 20 22 120042"
"2512651","2018","2018 ACS",1108183,2018001241232,85,2018011081831,280342,"Households under 1970 definition",1,85,"53","N/A or no schooling","No schooling completed","Yes, in the labor force",16000,0,"2018001241232 2018011081831 85 53 280342"
"2515943","2018","2018 ACS",1109602,2018001279016,95,2018011096021,310442,"Households under 1970 definition",3,150,"18","Grade 9","Grade 9","Yes, in the labor force",750,9,"2018001279016 2018011096021 95 18 310442"
"2579994","2018","2018 ACS",1139370,2018001199883,65,2018011393701,60345,"Households under 1970 definition",4,133,"17","Grade 11","Grade 11","Yes, in the labor force",11600,11,"2018001199883 2018011393701 65 17 60345"
"2756703","2018","2018 ACS",1219590,2018000444315,447,2018012195901,450248,"Households under 1970 definition",1,447,"26","Grade 9","Grade 9","Yes, in the labor force",20000,9,"2018000444315 2018012195901 447 26 450248"
"2835035","2018","2018 ACS",1250402,2018000873671,43,2018012504021,430148,"Households under 1970 definition",2,38,"69","Grade 11","Grade 11","Yes, in the labor force",16500,11,"2018000873671 2018012504021 43 69 430148"
"2848529","2018","2018 ACS",1255593,2018000946031,10,2018012555931,520148,"Households under 1970 definition",1,11,"74","Grade 12","12th grade, no diploma","Yes, in the labor force",153200,11,"2018000946031 2018012555931 10 74 520148"
"2893912","2018","2018 ACS",1273383,2018001194684,61,2018012733831,70048,"Households under 1970 definition",2,76,"71","Grade 10","Grade 10","Yes, in the labor force",32100,10,"2018001194684 2018012733831 61 71 70048"
"2906646","2018","2018 ACS",1278337,2018001264576,66,2018012783371,590848,"Households under 1970 definition",2,77,"35","Grade 12","12th grade, no diploma","Yes, in the labor force",42000,11,"2018001264576 2018012783371 66 35 590848"
"2939660","2018","2018 ACS",1291525,2018000314173,77,2018012915251,1300149,"Households under 1970 definition",3,97,"17","Grade 10","Grade 10","Yes, in the labor force",4800,10,"2018000314173 2018012915251 77 17 1300149"
"3037898","2018","2018 ACS",1333099,2018001105894,134,2018013330991,5104451,"Households under 1970 definition",2,168,"17","Grade 11","Grade 11","Yes, in the labor force",500,11,"2018001105894 2018013330991 134 17 5104451"
"3088999","2018","2018 ACS",1355808,2018000594768,40,2018013558081,1150553,"Households under 1970 definition",5,30,"36","N/A or no schooling","No schooling completed","Yes, in the labor force",64000,0,"2018000594768 2018013558081 40 36 1150553"
"3146437","2018","2018 ACS",1380309,2018001193836,36,2018013803091,40054,"Households under 1970 definition",2,20,"16","Grade 10","Grade 10","Yes, in the labor force",510,10,"2018001193836 2018013803091 36 16 40054"
"3166301","2018","2018 ACS",1390288,2018000358304,34,2018013902881,140155,"Households under 1970 definition",4,34,"16","Grade 10","Grade 10","Yes, in the labor force",5000,10,"2018000358304 2018013902881 34 16 140155"
"3199644","2018","2018 ACS",1404490,2018001180574,22,2018014044901,130055,"Households under 1970 definition",1,22,"52","Grade 9","Grade 9","Yes, in the labor force",49000,9,"2018001180574 2018014044901 22 52 130055"
"19625","2018","2018 ACS",9904,2018000541311,96,2018000099041,160001,"Households under 1970 definition",2,94,"45","Grade 12","Some college, but less than 1 year","Yes, in the labor force",25000,12,"2018000541311 2018000099041 96 45 160001"
"34816","2018","2018 ACS",16515,2018001003663,105,2018000165151,130501,"Households under 1970 definition",2,105,"64","Grade 12","Regular high school diploma","Yes, in the labor force",99000,12,"2018001003663 2018000165151 105 64 130501"
"411921","2018","2018 ACS",174906,2018000930779,109,2018001749061,376806,"Households under 1970 definition",2,128,"52","Grade 12","GED or alternative credential","Yes, in the labor force",41000,12,"2018000930779 2018001749061 109 52 376806"
"585724","2018","2018 ACS",242988,2018001293770,152,2018002429881,82408,"Households under 1970 definition",2,206,"38","Grade 12","Regular high school diploma","Yes, in the labor force",24000,12,"2018001293770 2018002429881 152 38 82408"
"657738","2018","2018 ACS",280411,2018000056293,73,2018002804111,861812,"Households under 1970 definition",2,81,"44","Grade 12","Regular high school diploma","Yes, in the labor force",40000,12,"2018000056293 2018002804111 73 44 861812"
"750088","2018","2018 ACS",320566,2018000724581,36,2018003205661,862412,"Households under 1970 definition",1,36,"57","Grade 12","Regular high school diploma","Yes, in the labor force",36000,12,"2018000724581 2018003205661 36 57 862412"
"880268","2018","2018 ACS",378939,2018000458860,90,2018003789391,100313,"Households under 1970 definition",2,86,"62","Grade 12","Regular high school diploma","Yes, in the labor force",55000,12,"2018000458860 2018003789391 90 62 100313"
"931332","2018","2018 ACS",399867,2018001201904,64,2018003998671,600113,"Households under 1970 definition",3,137,"57","Grade 12","Regular high school diploma","Yes, in the labor force",41000,12,"2018001201904 2018003998671 64 57 600113"
"1131652","2018","2018 ACS",488054,2018000562202,35,2018004880541,150018,"Households under 1970 definition",1,35,"47","Grade 12","Some college, but less than 1 year","Yes, in the labor force",40000,12,"2018000562202 2018004880541 35 47 150018"
"1724321","2018","2018 ACS",756145,2018000148684,68,2018007561451,60031,"Households under 1970 definition",1,68,"48","Grade 12","Regular high school diploma","Yes, in the labor force",75000,12,"2018000148684 2018007561451 68 48 60031"
"1792000","2018","2018 ACS",787602,2018000073545,132,2018007876021,70134,"Households under 1970 definition",2,139,"31","Grade 12","Regular high school diploma","Yes, in the labor force",30400,12,"2018000073545 2018007876021 132 31 70134"
"1919603","2018","2018 ACS",845478,2018000135527,63,2018008454781,270236,"Households under 1970 definition",1,63,"48","Grade 12","Regular high school diploma","Yes, in the labor force",109000,12,"2018000135527 2018008454781 63 48 270236"
"1992241","2018","2018 ACS",874769,2018000680821,112,2018008747691,90136,"Households under 1970 definition",2,120,"56","Grade 12","Regular high school diploma","Yes, in the labor force",40000,12,"2018000680821 2018008747691 112 56 90136"
"2098008","2018","2018 ACS",920995,2018000062502,112,2018009209951,200037,"Households under 1970 definition",1,113,"59","Grade 12","Regular high school diploma","Yes, in the labor force",15000,12,"2018000062502 2018009209951 112 59 200037"
"2507455","2018","2018 ACS",1105956,2018001181484,137,2018011059561,80242,"Households under 1970 definition",1,137,"39","Grade 12","GED or alternative credential","Yes, in the labor force",75000,12,"2018001181484 2018011059561 137 39 80242"
"2605616","2018","2018 ACS",1152180,2018000153391,70,2018011521801,160447,"Households under 1970 definition",2,50,"27","Grade 12","Regular high school diploma","Yes, in the labor force",30000,12,"2018000153391 2018011521801 70 27 160447"
"2649340","2018","2018 ACS",1170573,2018001085758,44,2018011705731,220047,"Households under 1970 definition",1,43,"59","Grade 12","Regular high school diploma","Yes, in the labor force",50000,12,"2018001085758 2018011705731 44 59 220047"
"2788285","2018","2018 ACS",1231994,2018000618603,48,2018012319941,330148,"Households under 1970 definition",1,47,"50","Grade 12","GED or alternative credential","Yes, in the labor force",12000,12,"2018000618603 2018012319941 48 50 330148"
"2953162","2018","2018 ACS",1296011,2018000935551,404,2018012960111,3500649,"Households under 1970 definition",2,353,"37","Grade 12","Some college, but less than 1 year","Yes, in the labor force",104000,12,"2018000935551 2018012960111 404 37 3500649"
"3103992","2018","2018 ACS",1361962,2018000888378,60,2018013619621,1050453,"Households under 1970 definition",2,63,"60","Grade 12","Some college, but less than 1 year","Yes, in the labor force",149600,12,"2018000888378 2018013619621 60 60 1050453"
