STATE,INCOME,AGE,EDU,SEX,RACE,MARST,CHILDREN,VOTED
Wisconsin,15760,64,High School,Male,White,Divorced,2,Did not vote
California,47587,62,High School,Male,White,Divorced,3,Did not vote
Ohio,51683,52,High School,Female,White,"Married, spouse present",2,Voted
South Dakota,54999,73,High School,Female,White,"Married, spouse present",2,Voted
Washington,71323,64,High School,Female,White,"Married, spouse present",0,Voted
Hawaii,175980,42,High School,Female,White,"Married, spouse present",1,Voted
South Dakota,30560,48,College,Female,White,Never married/single,1,Voted
Virginia,38595,26,College,Female,White,Never married/single,0,Voted
Maine,18654,40,High School,Male,White,Divorced,0,Voted
New Jersey,176284,27,High School,Female,White,Never married/single,0,Did not vote
Montana,239121,28,High School,Male,White,"Married, spouse present",2,Did not vote
Kentucky,115877,29,No Degree,Female,White,Never married/single,2,Did not vote
West Virginia,99796,76,High School,Female,White,"Married, spouse present",1,Voted
Arkansas,127998,27,College,Female,White,"Married, spouse present",3,Did not vote
Delaware,57212,33,High School,Male,White,"Married, spouse present",3,Voted
Texas,26748,36,College,Female,White,"Married, spouse present",0,Voted
New Jersey,379797,64,High School,Female,White,"Married, spouse present",0,Voted
Colorado,37563,69,High School,Female,White,Widowed,1,Voted
Oregon,34192,24,College,Male,White,"Married, spouse present",2,Voted
Missouri,70204,26,College,Female,Black/Negro,"Married, spouse present",2,Voted
Texas,646744,62,No Degree,Male,White,"Married, spouse present",2,Did not vote
Texas,93271,40,College,Female,White,Never married/single,2,Voted
Washington,154378,19,High School,Female,White,Never married/single,0,Did not vote
Nevada,43579,34,High School,Female,White,Divorced,2,Voted
Idaho,41490,85,High School,Female,White,"Married, spouse present",2,Voted
California,81505,40,No Degree,Female,White,Never married/single,0,Voted
Alaska,612,21,High School,Male,Black/Negro,Never married/single,1,Did not vote
Wisconsin,259149,21,High School,Male,White,Never married/single,1,Did not vote
Wyoming,49510,35,High School,Female,White,"Married, spouse present",2,Did not vote
Kansas,203,19,High School,Male,White,Never married/single,2,Voted
Michigan,97867,76,College,Female,White,"Married, spouse present",1,Voted
Idaho,54818,30,High School,Male,White,Never married/single,1,Voted
Arkansas,2596,64,High School,Female,White,"Married, spouse present",1,Voted
West Virginia,50384,55,High School,Female,White,"Married, spouse present",3,Voted
California,144968,64,College,Male,White,"Married, spouse absent",3,Voted
Massachusetts,49400,85,High School,Male,White,"Married, spouse absent",1,Voted
Texas,82766,30,College,Female,Asian only,"Married, spouse present",1,Did not vote
Nebraska,24607,66,High School,Male,White,Divorced,2,Voted
New Mexico,27162,29,High School,Male,White,Never married/single,1,Did not vote
Florida,11913,25,High School,Female,White,Never married/single,1,Did not vote
Wisconsin,91699,31,College,Female,White,"Married, spouse present",0,Voted
Illinois,5901,18,No Degree,Male,White,Never married/single,1,Voted
Missouri,165501,53,High School,Female,White,"Married, spouse present",3,Voted
Kansas,160118,54,College,Female,White,"Married, spouse present",2,Voted
Illinois,163364,31,College,Female,White,"Married, spouse present",1,Voted
Mississippi,142567,52,College,Female,Black/Negro,"Married, spouse present",1,Voted
New Jersey,293545,41,College,Female,Black/Negro,"Married, spouse present",0,Voted
Tennessee,12684,69,College,Female,White,"Married, spouse present",2,Voted
Nevada,15149,19,High School,Male,Asian only,Never married/single,1,Did not vote
California,47797,61,College,Male,White,"Married, spouse present",1,Did not vote
Delaware,111208,34,College,Female,White,"Married, spouse present",0,Voted
New Jersey,392740,40,High School,Female,White,"Married, spouse present",1,Voted
Illinois,222109,73,College,Male,White,Widowed,1,Voted
Arizona,198058,22,High School,Female,White,Never married/single,0,Voted
Florida,40652,37,College,Female,White,"Married, spouse present",1,Voted
Georgia,195377,47,High School,Male,White,"Married, spouse present",2,Voted
Oklahoma,63691,26,High School,Female,White,"Married, spouse present",1,Voted
Maryland,93283,44,College,Female,White,Never married/single,1,Voted
Mississippi,97685,46,High School,Female,White,"Married, spouse present",0,Voted
South Dakota,72918,49,High School,Female,White,Never married/single,1,Did not vote
Wyoming,23879,76,College,Male,White,Divorced,1,Voted
South Carolina,36243,77,High School,Male,White,Divorced,1,Voted
Texas,31922,45,College,Female,White,"Married, spouse present",1,Voted
Idaho,41478,61,College,Female,White,"Married, spouse present",0,Voted
New Jersey,148326,74,High School,Female,White,"Married, spouse present",1,Voted
Kansas,51936,69,High School,Male,White,Widowed,4,Voted
Louisiana,34382,32,High School,Male,White,Never married/single,0,Did not vote
Massachusetts,101067,36,High School,Male,White,"Married, spouse present",2,Did not vote
District of Columbia,67297,26,College,Female,White,Never married/single,2,Voted
Arkansas,47362,28,College,Female,White,Never married/single,2,Voted
Wyoming,223444,20,High School,Male,White,Never married/single,1,Did not vote
Tennessee,84189,18,High School,Female,White,Never married/single,1,Did not vote
New Jersey,99162,26,College,Male,Asian only,Never married/single,2,Did not vote
South Carolina,66330,29,College,Female,White,Never married/single,1,Voted
Oregon,72929,33,High School,Female,White,Separated,2,Did not vote
Massachusetts,107351,62,College,Female,White,Never married/single,0,Voted
Arizona,67758,46,College,Female,White,Divorced,1,Voted
Virginia,124472,58,College,Female,White,"Married, spouse present",0,Voted
Michigan,90705,23,High School,Male,White,Never married/single,1,Did not vote
Oklahoma,53520,59,College,Female,White,"Married, spouse present",1,Voted
California,9228,59,High School,Male,White,Divorced,1,Did not vote
California,45699,25,High School,Male,White,Never married/single,3,Voted
Florida,36266,51,College,Female,White,Never married/single,0,Voted
South Carolina,99441,45,High School,Male,Black/Negro,"Married, spouse present",3,Voted
Georgia,14142,30,High School,Male,White,"Married, spouse present",3,Did not vote
Indiana,58509,22,College,Male,White,Never married/single,1,Don't know
Texas,128456,49,College,Female,White,"Married, spouse present",0,Voted
Missouri,75145,26,College,Male,Black/Negro,Never married/single,0,Voted
Illinois,64000,35,College,Female,White,Never married/single,1,Did not vote
Washington,99496,58,College,Female,White,Widowed,1,Voted
Missouri,35558,80,College,Female,White,Never married/single,1,Voted
Maryland,95901,35,High School,Female,White,Never married/single,3,Don't know
West Virginia,52518,72,High School,Female,White,Divorced,3,Voted
Iowa,31322,46,High School,Male,Black/Negro,Divorced,1,Voted
Connecticut,58634,51,High School,Male,White,Divorced,1,Voted
Arkansas,63266,51,High School,Female,White,"Married, spouse present",4,Did not vote
Rhode Island,59017,62,High School,Male,White,Separated,2,Voted
District of Columbia,166325,35,College,Male,White,Never married/single,2,Voted
Georgia,123202,46,College,Female,White,"Married, spouse present",1,Voted
North Carolina,54060,30,College,Female,White,Never married/single,2,Voted
Washington,137646,25,High School,Female,White,Never married/single,3,Did not vote
Minnesota,165725,63,High School,Female,White,"Married, spouse present",0,Voted
Texas,58830,42,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Mississippi,6529,25,High School,Female,Black/Negro,Never married/single,1,Did not vote
Delaware,135410,26,College,Female,White,"Married, spouse present",2,Did not vote
Delaware,56061,69,College,Female,Black/Negro,Widowed,1,Voted
Mississippi,63619,31,College,Female,White,Never married/single,2,Did not vote
South Dakota,52533,24,High School,Female,Black/Negro,"Married, spouse present",1,Did not vote
Florida,31797,54,College,Female,White,Divorced,1,Voted
Illinois,66622,26,High School,Male,Black/Negro,Never married/single,1,Voted
Alabama,90891,22,High School,Female,Black/Negro,Never married/single,0,Voted
Tennessee,22561,78,High School,Female,White,Widowed,0,Did not vote
North Dakota,46641,37,College,Female,White,"Married, spouse present",1,Voted
West Virginia,240884,37,College,Male,White,Never married/single,2,Voted
Oklahoma,23563,34,High School,Female,White,"Married, spouse present",1,Did not vote
Louisiana,12482,80,No Degree,Female,Black/Negro,Widowed,0,Voted
Illinois,28490,79,High School,Female,Black/Negro,Divorced,0,Voted
Missouri,156725,57,College,Female,White,"Married, spouse present",0,Voted
Florida,26402,40,College,Female,White,Divorced,1,Voted
Tennessee,72806,61,No Degree,Male,White,"Married, spouse present",1,Did not vote
South Dakota,62884,61,High School,Female,White,"Married, spouse present",3,Voted
California,117139,53,College,Female,Black/Negro,"Married, spouse present",0,Don't know
Montana,15722,62,High School,Female,White,Divorced,2,Did not vote
Hawaii,36536,61,High School,Male,Asian only,"Married, spouse present",2,Voted
Montana,57748,38,College,Female,White,"Married, spouse present",1,Did not vote
Kansas,2816,85,High School,Female,White,Widowed,2,Voted
Idaho,93983,19,High School,Female,White,Never married/single,2,Voted
Massachusetts,15748,33,High School,Female,White,Separated,0,Did not vote
Maryland,10500,49,No Degree,Female,White,Never married/single,1,Did not vote
California,43957,22,High School,Male,White,Never married/single,0,Did not vote
Kansas,33018,48,High School,Female,Black/Negro,"Married, spouse present",2,Voted
Massachusetts,70012,60,College,Female,White,"Married, spouse present",2,Voted
Florida,216518,50,College,Female,White,"Married, spouse present",2,Did not vote
California,191130,39,High School,Female,White,Never married/single,3,Did not vote
District of Columbia,69416,31,High School,Female,Black/Negro,Never married/single,2,Did not vote
Wyoming,34944,76,High School,Female,White,Widowed,1,Voted
Massachusetts,49986,18,No Degree,Male,White,Never married/single,1,Voted
Ohio,70866,62,College,Female,White,"Married, spouse present",1,Voted
Texas,74377,27,College,Female,Black/Negro,Never married/single,0,Don't know
Louisiana,13039,38,College,Male,White,Never married/single,0,Did not vote
Kentucky,97202,60,High School,Female,White,"Married, spouse present",1,Voted
West Virginia,28138,22,High School,Female,White,"Married, spouse present",0,Did not vote
Texas,23952,80,High School,Female,White,Widowed,0,Did not vote
Virginia,53256,46,High School,Female,White,"Married, spouse present",3,Voted
Florida,171095,61,College,Female,White,"Married, spouse present",1,Voted
North Carolina,61267,46,High School,Female,Black/Negro,Divorced,1,Voted
Georgia,49370,46,High School,Female,Asian only,"Married, spouse present",0,Did not vote
Rhode Island,514553,23,High School,Male,White,Never married/single,0,Did not vote
Idaho,24683,80,High School,Female,White,"Married, spouse present",1,Voted
Alabama,9303,58,High School,Male,White-American Indian,Divorced,2,Did not vote
California,29523,40,High School,Male,White,"Married, spouse present",1,Did not vote
West Virginia,58496,29,College,Female,White,"Married, spouse present",2,Did not vote
Ohio,35036,44,High School,Female,White,Never married/single,1,Did not vote
Maryland,14249,44,High School,Male,White,Never married/single,1,Did not vote
Mississippi,34552,73,College,Male,White,Widowed,0,Voted
Virginia,119570,19,High School,Male,White,Never married/single,3,Did not vote
Hawaii,86395,69,College,Female,Hawaiian/Pacific Islander only,Widowed,3,Voted
Texas,30442,38,High School,Female,White-American Indian,Never married/single,1,Voted
Kentucky,11638,65,No Degree,Male,White,Divorced,0,Voted
Texas,41028,85,College,Female,White,Widowed,3,Voted
Maine,82944,60,College,Female,White,"Married, spouse present",2,Voted
Ohio,658701,50,High School,Female,White,"Married, spouse present",3,Voted
Montana,62891,80,High School,Female,White,Widowed,0,Voted
New York,9351,35,High School,Female,White,Widowed,0,Voted
West Virginia,25426,30,College,Female,White,"Married, spouse present",1,Voted
Alabama,122986,59,High School,Female,Asian only,Divorced,1,Voted
Kentucky,52928,46,High School,Female,White,"Married, spouse present",1,Voted
Nevada,36676,19,High School,Female,White,Never married/single,2,Did not vote
Connecticut,118512,53,College,Female,White,"Married, spouse absent",2,Voted
South Dakota,96644,39,College,Female,White,"Married, spouse present",0,Voted
District of Columbia,94101,30,College,Female,White,"Married, spouse present",0,Voted
California,221575,58,College,Male,White-Asian,Divorced,0,Voted
Indiana,68391,26,No Degree,Female,White,"Married, spouse present",1,Voted
North Carolina,36394,46,High School,Female,White,Separated,3,Did not vote
Kentucky,36214,22,High School,Male,White,Separated,1,Did not vote
Kansas,58182,57,High School,Male,Black/Negro,"Married, spouse present",0,Voted
Missouri,76281,68,High School,Female,White,"Married, spouse present",2,Voted
Mississippi,19132,38,High School,Male,Black/Negro,Widowed,1,Voted
Minnesota,213171,53,High School,Male,White,"Married, spouse present",4,Did not vote
New Hampshire,190233,25,College,Female,White,Never married/single,3,Voted
Iowa,91752,62,College,Male,White,"Married, spouse present",3,Voted
Iowa,34838,68,High School,Male,White,Never married/single,2,Voted
Oklahoma,69938,57,High School,Female,White,"Married, spouse present",0,Voted
Louisiana,19226,85,High School,Female,White,Widowed,2,Voted
Colorado,93079,23,High School,Male,White,Never married/single,1,Don't know
Colorado,113510,24,College,Male,White,Never married/single,0,Voted
Oregon,57435,73,High School,Female,White,Separated,2,Voted
North Dakota,13080,78,High School,Female,White,"Married, spouse present",0,Voted
Montana,47403,27,High School,Male,White,"Married, spouse present",0,Voted
Nevada,52371,28,High School,Female,White,"Married, spouse absent",2,Did not vote
Texas,93472,25,College,Male,White,Never married/single,2,Did not vote
Arkansas,12699,22,High School,Female,White,Never married/single,2,Did not vote
Indiana,73434,45,High School,Female,White,Divorced,0,Did not vote
South Carolina,28635,59,High School,Female,White,"Married, spouse present",1,Did not vote
California,113306,21,High School,Male,White,Never married/single,2,Don't know
Texas,39395,85,High School,Female,White,Widowed,4,Voted
Washington,123796,47,High School,Female,White,"Married, spouse present",0,Did not vote
Georgia,35034,80,High School,Female,White,Widowed,0,Voted
South Carolina,97371,24,High School,Male,White,Never married/single,1,Did not vote
Rhode Island,12641,41,No Degree,Female,White,Divorced,0,Did not vote
Wyoming,21733,68,College,Male,White,Divorced,2,Did not vote
Mississippi,97536,65,College,Female,White,Widowed,0,Voted
Tennessee,16836,72,High School,Female,White,Widowed,1,Voted
Texas,604425,23,High School,Male,White,Never married/single,0,Voted
California,169329,39,College,Female,Asian only,Never married/single,1,Voted
Pennsylvania,65693,46,College,Female,White,Divorced,4,Voted
Illinois,72074,31,College,Female,White,Never married/single,3,Did not vote
Missouri,35499,20,High School,Male,White,Never married/single,2,Don't know
Kansas,39817,47,High School,Female,White,Never married/single,3,Voted
California,74792,69,No Degree,Female,Asian only,"Married, spouse present",2,Did not vote
Montana,135245,65,College,Male,White,"Married, spouse present",1,Voted
Louisiana,14054,57,High School,Female,White,Divorced,1,Voted
Alabama,16427,77,High School,Female,White,Widowed,1,Did not vote
Wisconsin,133281,24,High School,Male,Black/Negro,Never married/single,0,Voted
Illinois,97158,64,High School,Female,White,"Married, spouse present",0,Did not vote
Michigan,61544,34,High School,Female,White,"Married, spouse present",2,Did not vote
Georgia,28218,71,High School,Female,White,"Married, spouse present",2,Voted
Connecticut,243073,35,High School,Male,White,Never married/single,0,Voted
Virginia,147461,70,High School,Female,White,"Married, spouse present",0,Voted
Wyoming,86149,63,High School,Female,White,"Married, spouse present",2,Voted
Arkansas,18405,59,High School,Male,White,Widowed,1,Did not vote
Louisiana,90104,41,College,Female,White,Divorced,3,Voted
New York,209827,35,College,Female,White,"Married, spouse present",1,Voted
Georgia,98639,19,High School,Female,White,Never married/single,0,Voted
Louisiana,41156,31,High School,Female,White,Never married/single,0,Did not vote
Florida,74089,57,High School,Male,White,Divorced,1,Did not vote
Wisconsin,14313,85,High School,Female,White,Widowed,0,Voted
New Hampshire,96973,58,College,Female,White,Never married/single,2,Voted
Georgia,17168,65,High School,Female,Black/Negro,Divorced,0,Voted
New Jersey,423169,19,High School,Male,White,Never married/single,1,Voted
Tennessee,32049,80,High School,Female,White,"Married, spouse present",2,Voted
Illinois,63199,56,High School,Female,White,"Married, spouse present",4,Voted
Wyoming,120093,71,High School,Female,White,"Married, spouse present",2,Voted
Connecticut,33449,24,High School,Male,White,Never married/single,2,Voted
Texas,13201,23,College,Male,Asian only,Never married/single,0,Voted
Texas,39159,61,High School,Male,White,Never married/single,2,Did not vote
Utah,20176,85,College,Male,White,Widowed,0,Voted
Washington,227954,49,High School,Male,White,Never married/single,1,Voted
Illinois,32022,24,High School,Female,White,"Married, spouse present",3,Did not vote
Florida,201729,38,College,Female,White,Never married/single,2,Voted
Montana,28239,66,College,Female,White,Widowed,1,Voted
South Dakota,99877,39,High School,Female,White,"Married, spouse present",2,Voted
Oklahoma,53086,80,College,Female,White,Widowed,1,Voted
Michigan,54332,24,High School,Male,Black/Negro,Never married/single,0,Voted
Tennessee,49440,49,College,Female,Black/Negro,"Married, spouse present",3,Voted
New Mexico,12181,24,High School,Male,White,Never married/single,1,Voted
Nebraska,112928,72,High School,Male,White,"Married, spouse present",0,Did not vote
North Dakota,60106,58,High School,Male,White,Never married/single,0,Did not vote
Kansas,56616,18,High School,Female,White,Never married/single,0,Did not vote
Ohio,60848,80,No Degree,Male,White,Widowed,1,Voted
Maine,80270,60,High School,Female,White,"Married, spouse present",2,Voted
New York,71919,29,High School,Male,White,"Married, spouse present",1,Did not vote
Iowa,69855,39,High School,Male,White,Never married/single,2,Voted
Wisconsin,119640,51,College,Female,White,"Married, spouse present",3,Voted
Mississippi,29659,68,No Degree,Male,White-Black,"Married, spouse present",2,Did not vote
South Carolina,2934,55,College,Male,White,"Married, spouse present",1,Voted
Tennessee,40504,59,College,Male,White,"Married, spouse present",0,Voted
Pennsylvania,142100,59,High School,Male,White,"Married, spouse present",1,Voted
North Dakota,1731,60,College,Male,White,Divorced,2,Voted
Missouri,124730,42,No Degree,Male,White,Divorced,3,Did not vote
Washington,685465,34,College,Female,Asian only,"Married, spouse present",3,Voted
Michigan,16035,47,High School,Male,Black/Negro,Never married/single,1,Voted
Texas,341667,33,College,Female,White,"Married, spouse present",3,Did not vote
Florida,17179,33,High School,Female,White,Never married/single,2,Voted
West Virginia,41285,26,High School,Female,Hawaiian/Pacific Islander only,Never married/single,1,Did not vote
Alabama,22661,69,High School,Male,Black/Negro,"Married, spouse present",1,Did not vote
Alaska,1918,35,High School,Male,American Indian/Aleut/Eskimo,Never married/single,0,Did not vote
Arkansas,12388,60,High School,Male,White,Divorced,1,Did not vote
Indiana,95002,68,High School,Female,White,"Married, spouse present",1,Voted
Alaska,203667,21,High School,Male,White,Never married/single,3,Did not vote
Louisiana,38540,46,College,Male,White,Divorced,3,Did not vote
Utah,44525,29,High School,Female,White,Never married/single,1,Voted
Utah,58003,25,High School,Female,White,Divorced,1,Did not vote
Mississippi,3956,59,High School,Female,White,Separated,2,Voted
California,14262,80,High School,Female,Asian only,Widowed,2,Voted
Wisconsin,71725,57,College,Female,White,"Married, spouse present",3,Voted
Florida,15682,70,College,Male,White,Never married/single,1,Voted
California,3600,40,High School,Male,Black/Negro,Never married/single,1,Did not vote
Louisiana,202598,52,High School,Female,White,"Married, spouse present",3,Voted
Texas,94580,43,College,Female,Black/Negro,"Married, spouse present",1,Voted
Vermont,2767,55,High School,Female,White,Divorced,1,Did not vote
Alaska,186583,45,College,Male,Asian only,"Married, spouse present",2,Voted
Vermont,627221,57,College,Male,White,Divorced,3,Voted
Indiana,78370,51,College,Female,Asian only,Divorced,3,Did not vote
Pennsylvania,52600,31,High School,Female,White,Never married/single,1,Did not vote
Texas,93907,18,No Degree,Male,White,Never married/single,4,Voted
